Driver,DriverNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector2SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,FastF1Generated,IsAccurate,RaceName,Year,Pitted,CompoundEncoded,LapTimeDelta,LapTimeRolling3,DegradationFromStintStart,TotalLaps,RacePctComplete,LapsRemaining,IsLateRace
ALB,23,0.00949671470496983,-1.5396207704615066,0.4495173149212297,1.2330816999723448,0.2152668909068015,0.6104462788618705,1.0578436098446522,-1.7736144623951862,0.7217207530157156,False,HARD,0.4854322377930183,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.1817983977827309,-0.11633903641305245,0.0515670613540774,-0.3833897410864518,0.42984680399852987,-0.48377725185506965,0
ALB,23,0.00949671470496983,-1.5465347348141245,0.4550643668706812,1.2480240842566832,0.2698875512535199,0.6104462788618705,1.101279664489761,-1.7411443885593059,0.681607671642429,False,HARD,0.5814039628172972,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.13150031214794583,-0.10421592106915296,0.05900501573217674,-0.3833897410864518,0.49021818008834755,-0.5384444954231297,0
ALB,23,0.00949671470496983,-1.5468490059210613,0.4442408508717518,1.2294955277441035,0.32450397922158913,0.6104462788618705,1.0361255825220979,-1.7086743147234256,0.7217207530157156,False,HARD,0.6773756878415762,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.08744489671605907,-0.09635312532931088,0.040926654396519595,-0.3833897410864518,0.5505895561781647,-0.5931117389911896,0
ALB,23,0.00949671470496983,-1.5421349393170036,0.45547024872064107,1.258583369150948,0.3791324997000849,0.6556375038773874,1.0361255825220979,-1.8060845362310665,0.7217207530157156,False,HARD,0.7733474128658551,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.16485400723200544,-0.09146628813642071,0.06768262917329264,-0.3833897410864518,0.6109609322679824,-0.6477789825592497,0
ALB,23,0.00949671470496983,-1.537420872712946,0.45993494907019933,1.2129592891361034,0.4338873869125409,0.633041891369629,1.0361255825220979,-1.7411443885593059,0.6013815088958558,False,HARD,0.869319137890134,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.08905015476823314,-0.09403501025063435,0.05053401213489791,-0.3833897410864518,0.6713323083578001,-0.7024462261273098,0
ALB,23,0.00949671470496983,-1.538677957140695,0.43652909572251575,1.2448363756093581,0.4883943776612475,0.5878506663541121,1.0144075551995435,-1.7086743147234256,0.6013815088958558,False,HARD,0.9652908629144129,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.11491264560881374,-0.0917795469308391,0.048364608774618935,-0.3833897410864518,0.7317036844476174,-0.7571134696953697,1
ALB,23,0.00949671470496983,-1.536635194945603,0.4493820209712434,1.232284772810514,0.5430634080496735,0.4974682163230784,1.0578436098446522,-1.6762042408875453,0.7217207530157156,False,HARD,1.0612625879386919,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.12668453799142362,-0.09622782181154567,0.053013330260931024,-0.3833897410864518,0.792075060537435,-0.8117807132634298,1
ALB,23,0.00949671470496983,-1.536635194945603,0.4493820209712434,1.232284772810514,0.5976840683963919,0.4974682163230784,1.0578436098446522,-1.6762042408875453,0.7217207530157156,False,HARD,1.1572343129629707,True,Williams,1,0.5674531312216289,False,False,Abu Dhabi,2023,1,0.6581387016773522,0.12668453799142362,-0.09618083299238438,0.053013330260931024,-0.3833897410864518,0.8524464366272527,-0.8664479568314898,1
ALB,23,1.1795974854095301,1.613618380992632,0.3606291897800283,1.1601628646647761,0.6651506025694778,0.633041891369629,1.166433746457424,-1.5138538717081438,0.8019469157622887,False,HARD,-1.3380305376682813,True,Williams,1,1.2994995229985702,False,False,Abu Dhabi,2023,0,0.6581387016773522,0.11330738755663967,1.6943281211908443,2.2130159426452805,-0.3833897410864518,0.91281781271707,-0.9211152003995499,1
ALB,23,1.1795974854095301,-1.6141030228056168,0.31165277988487566,1.0332522141431333,0.7186490779485911,0.6782331163851457,1.4270500743280763,-1.546323945544024,0.9222861598821485,True,HARD,-1.2420588126440022,True,Williams,1,1.116487925054335,False,True,Abu Dhabi,2023,0,0.6581387016773522,-3.7232593571392503,0.6821889564327631,-0.012172075469355281,-0.3833897410864518,0.9731891888068875,-0.9757824439676098,1
